title;artist;top genre;year;bpm;energy;danceability;valence;duration;acousticness;speechiness
Face Down;The Red Jumpsuit Apparatus;alternative metal;2006;93;93;55;46;192;0;4
Firework;Katy Perry;pop;2010;124;83;64;65;228;14;5
Halo;Beyoncé;pop;2008;80;72;51;47;262;27;6
Hear Me Now;Alok;electro house;2016;122;46;78;50;195;55;4
Hello;Adele;british soul;2015;79;43;58;29;296;33;3
Higher Love;Kygo;edm;2019;104;68;69;40;228;2;3
Hot In Herre;Nelly;dance pop;2002;107;75;96;91;228;21;12
Human;The Killers;alternative rock;2008;135;80;56;58;245;0;6
Hung Up;Madonna;dance pop;2005;125;65;65;41;338;0;5
ily (i love you baby) (feat. Emilee);Surf Mesa;tropical house;2019;112;77;67;33;177;7;9
In My Feelings;Drake;canadian hip hop;2018;91;63;84;35;218;6;13
In The Night;The Weeknd;canadian contemporary r&b;2015;168;68;51;54;236;8;7
In Too Deep;Sum 41;alternative metal;2001;116;84;57;77;207;0;5
Intentions (feat. Quavo);Justin Bieber;canadian pop;2020;148;55;81;87;213;30;6
International Love (feat. Chris Brown);Pitbull;dance pop;2011;120;86;67;65;227;1;5
Jealous;Labrinth;indie poptimism;2014;117;15;44;10;288;87;5
Let Me Blow Ya Mind;Eve;contemporary r&b;2001;90;56;91;90;230;24;11
Let Me Go (with Alesso Florida Georgia Line & watt);Hailee Steinfeld;pop;2017;103;71;66;74;175;3;5
Live Your Life;T.I.;atl hip hop;2008;160;86;38;48;339;7;26
2002;Anne-Marie;hel;2018;96;68;70;60;187;4;12
Losin Control;Russ;hawaiian hip hop;2017;97;25;76;21;238;52;14
Love On Top;Beyoncé;pop;2011;94;75;65;65;267;8;9
Low Life (feat. The Weeknd);Future;atl hip hop;2016;144;33;72;10;314;34;7
Middle;DJ Snake;edm;2016;105;70;58;22;221;1;4
MONTERO (Call Me By Your Name);Lil Nas X;lgbtq+ hip hop;2021;179;51;61;76;138;30;15
Motley Crew;Post Malone;dfw rap;2021;130;63;80;29;184;9;8
Nevermind;Dennis Lloyd;israeli pop;2017;100;69;60;8;157;16;20
Nights Like This (feat. Ty Dolla $ign);Kehlani;pop;2019;146;73;61;29;202;37;15
No Hands (feat. Roscoe Dash & Wale);Waka Flocka Flame;atl hip hop;2010;131;60;76;36;264;1;4
oui;Jeremih;chicago rap;2015;79;72;42;60;238;21;10
Paris;The Chainsmokers;electropop;2017;100;66;65;22;222;2;3
Part Of Me;Katy Perry;pop;2012;130;92;68;77;216;0;4
Perfect Strangers;Jonas Blue;pop;2018;118;86;73;70;197;39;5
Pompeii;Bastille;metropopolis;2013;127;72;68;57;214;8;4
Praise God;Kanye West;chicago rap;2021;118;55;80;21;227;1;17
Price Tag;Jessie J;dance pop;2011;175;83;64;67;223;3;18
Pure Water (with Migos);Mustard;cali rap;2019;202;56;68;14;192;17;13
Renegades;X Ambassadors;modern alternative rock;2015;90;86;53;53;195;1;9
Reptilia;The Strokes;alternative rock;2003;158;65;49;77;220;0;3
Ride Wit Me;Nelly;dance pop;2000;102;70;85;72;292;6;5
Runaway (U & I);Galantis;dance pop;2015;126;81;51;38;227;1;5
Savage Love (Laxed - Siren Beat);Jawsh 685;nz pop;2020;150;48;77;76;171;23;8
Say It;Tory Lanez;canadian hip hop;2016;107;53;55;25;238;9;6
Secreto;Anuel AA;reggaeton;2019;92;80;81;71;259;60;13
Secrets;OneRepublic;piano rock;2009;148;76;52;38;225;7;4
She Wolf;Shakira;colombian pop;2009;122;69;87;87;189;28;4
Slow Hands;Niall Horan;pop;2017;86;43;74;85;188;1;5
Smooth Criminal;Alien Ant Farm;alternative metal;2001;127;96;65;87;209;0;6
Snowman;Sia;australian dance;2018;105;51;72;33;166;48;3
Stir Fry;Migos;atl hip hop;2018;182;82;82;51;190;0;27
Stole the Show;Kygo;edm;2016;100;64;64;48;223;27;23
Stronger (What Doesn't Kill You);Kelly Clarkson;dance pop;2011;116;94;56;68;222;5;5
Sucker for Pain (with Wiz Khalifa & Imagine Dragons & Logic & Ty Dolla $ign feat. X Ambassadors);Lil Wayne;hip hop;2016;169;79;50;74;243;26;32
Sunday Best;Surfaces;bedroom soul;2019;112;53;88;69;159;18;6
Swalla (feat. Nicki Minaj & Ty Dolla $ign);Jason Derulo;dance pop;2017;98;82;70;78;216;8;11
Swang;Rae Sremmurd;melodic rap;2016;140;31;68;17;208;20;6
Take Care;Drake;canadian hip hop;2011;122;52;63;30;277;3;27
Take You Dancing;Jason Derulo;dance pop;2020;113;71;79;75;190;3;4
Talking to the Moon;Bruno Mars;dance pop;2010;146;59;50;8;218;51;3
The Climb;Miley Cyrus;pop;2009;161;60;34;30;235;6;3
THE SCOTTS;THE SCOTTS;viral rap;2020;130;54;72;28;166;23;5
Vaina Loca;Ozuna;puerto rican pop;2018;94;81;75;56;176;32;8
We Are Never Ever Getting Back Together;Taylor Swift;pop;2012;86;68;63;75;193;1;9
Wild Thoughts (feat. Rihanna & Bryson Tiller);DJ Khaled;hip hop;2017;98;67;67;63;204;3;7
Without Me;Halsey;electropop;2018;136;49;75;53;202;30;7
You're Beautiful;James Blunt;neo mellow;2005;82;48;68;45;209;63;3
You've Got The Love;Florence + The Machine;baroque pop;2009;110;69;57;40;169;0;3
ZEZE (feat. Travis Scott & Offset);Kodak Black;florida drill;2018;98;60;86;50;229;5;18
679 (feat. Remy Boyz);Fetty Wap;new jersey rap;2015;190;72;62;60;197;0;32
Airplanes (feat. Hayley Williams of Paramore);B.o.B;atl hip hop;2010;93;87;66;38;180;11;12
Bad Day;Daniel Powter;canadian pop;2005;140;79;60;52;234;45;3
Beautiful Day;U2;irish rock;2000;136;93;54;39;248;2;6
Beautiful People (feat. Khalid);Ed Sheeran;pop;2019;93;65;64;55;198;12;19
Because Of You;Ne-Yo;dance pop;2007;110;54;81;83;267;53;4
Behind Blue Eyes;Limp Bizkit;alternative metal;2003;120;49;60;9;270;50;3
Better Together;Jack Johnson;neo mellow;2005;110;35;87;66;208;30;5
Black Beatles;Rae Sremmurd;melodic rap;2016;146;63;79;36;292;14;6
Blueberry Faygo;Lil Mosey;melodic rap;2020;99;55;77;35;163;21;4
Chasing Pavements;Adele;british soul;2008;80;47;62;33;211;29;3
China;Anuel AA;reggaeton;2019;105;81;79;61;302;8;9
Circus;Britney Spears;dance pop;2008;115;73;79;76;192;15;5
Cleanin' Out My Closet;Eminem;detroit hip hop;2002;148;76;91;87;298;7;17
Crank That (Soulja Boy);Soulja Boy;atl hip hop;2007;140;74;74;80;222;52;8
Cry Me a River;Justin Timberlake;dance pop;2002;74;65;62;56;288;58;18
Dancing With A Stranger (with Normani);Sam Smith;pop;2019;103;52;74;35;171;45;7
Dangerous Woman;Ariana Grande;pop;2016;134;60;66;29;236;5;4
Destination Calabria - Radio Edit;Alex Gaudino;disco house;2007;128;95;63;31;223;0;4
Domino;Jessie J;dance pop;2011;127;56;76;78;232;1;3
Down On Me;Jeremih;chicago rap;2010;160;60;70;59;228;4;11
Eenie Meenie;Sean Kingston;dance pop;2010;121;61;72;83;202;5;3
Fast Car;Jonas Blue;pop;2018;114;58;67;55;212;47;6
Fat Lip;Sum 41;alternative metal;2001;197;91;40;63;178;0;14
Girlfriend;Avril Lavigne;canadian pop;2007;164;96;56;67;217;0;10
Good as Hell;Lizzo;escape room;2019;96;92;68;54;160;26;9
Good Life;Kanye West;chicago rap;2007;83;81;44;49;207;0;35
Habits (Stay High);Tove Lo;metropopolis;2014;110;65;73;35;209;7;3
History;One Direction;boy band;2015;87;70;66;80;187;4;5
Hold On We're Going Home;Drake;canadian hip hop;2013;100;41;77;29;228;0;10
I Don't Fuck With You;Big Sean;detroit hip hop;2015;98;73;82;40;284;4;6
I Hate Everything About You;Three Days Grace;alternative metal;2003;89;83;50;45;231;0;4
i'm so tired...;Lauv;pop;2020;101;74;55;50;163;17;24
In My Place;Coldplay;permanent wave;2002;145;59;42;19;227;6;3
Infinity 2008 - Klaas Vocal Edit;Guru Josh Project;acid house;2008;128;86;50;47;192;0;6
Just A Dream;Nelly;dance pop;2010;90;75;53;10;238;4;3
King Kunta;Kendrick Lamar;conscious hip hop;2015;107;66;88;49;235;1;10
L'Amour Toujours;Gigi D'Agostino;eurodance;2001;139;88;64;74;242;8;3
Last Friday Night (T.G.I.F.);Katy Perry;pop;2012;126;82;65;77;231;0;4
Latch;Disclosure;edm;2013;122;73;50;52;256;2;17
Let Me Love You;Mario;dance pop;2004;95;58;66;56;257;24;9
Levitating (feat. DaBaby);Dua Lipa;dance pop;2020;103;83;70;92;203;1;6
Life is a Highway;Rascal Flatts;contemporary country;2006;103;95;58;66;276;0;7
Like A G6;Far East Movement;asian american hip hop;2010;125;84;44;78;217;1;45
Little Do You Know;Alex & Sierra;pop;2014;146;29;50;37;185;75;3
Little Things;One Direction;boy band;2012;110;22;71;53;219;81;3
Live While We're Young;One Direction;boy band;2012;126;86;66;93;200;5;5
Loco Contigo (feat. J. Balvin & Tyga);DJ Snake;edm;2019;192;76;69;37;185;28;22
Meant to Be (feat. Florida Georgia Line);Bebe Rexha;dance pop;2017;154;78;64;58;164;5;9
Mi Gente;J Balvin;reggaeton;2018;105;70;55;29;185;2;8
Mine;Bazzi;pop;2018;143;79;71;72;131;2;7
Misery Business;Paramore;candy pop;2007;173;91;52;73;212;0;7
Naive;The Kooks;brighton indie;2006;100;81;39;74;204;8;9
No One;Alicia Keys;neo soul;2007;90;55;64;17;254;2;3
Nothin' on You (feat. Bruno Mars);B.o.B;atl hip hop;2010;104;85;69;74;268;39;5
One Call Away;Charlie Puth;pop;2016;91;61;67;47;194;40;3
Paralyzer;Finger Eleven;alternative metal;2007;106;94;64;86;208;16;5
Plain Jane;A$AP Ferg;hip hop;2017;170;84;80;52;174;7;28
pov;Ariana Grande;pop;2020;132;53;49;17;202;36;6
Rain On Me (with Ariana Grande);Lady Gaga;art pop;2020;123;86;67;65;182;2;4
Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;pop;2016;102;76;72;74;251;41;5
Roses;The Chainsmokers;electropop;2015;100;80;71;34;227;4;6
Sail;AWOLNATION;la indie;2011;119;44;83;27;259;44;6
212;Azealia Banks;escape room;2014;126;77;85;62;205;1;26
Shake That;Eminem;detroit hip hop;2005;107;64;96;53;274;5;12
Shout Out to My Ex;Little Mix;girl group;2016;126;75;77;80;246;2;9
Soltera - Remix;Lunay;reggaeton;2019;92;78;80;80;266;36;4
Somebody Else;The 1975;modern alternative rock;2016;101;79;62;46;348;20;6
Springsteen;Eric Church;contemporary country;2011;104;81;69;93;263;10;3
Stacy's Mom;Fountains Of Wayne;pop rock;2003;118;75;77;93;198;0;4
Take A Look Around;Limp Bizkit;alternative metal;2000;102;85;43;51;321;2;5
The A Team;Ed Sheeran;pop;2011;85;29;64;41;258;67;4
The Heart Wants What It Wants;Selena Gomez;pop;2014;83;79;62;62;227;5;4
The Motto;Drake;canadian hip hop;2011;202;44;77;39;182;0;36
Too Good;Drake;canadian hip hop;2016;118;65;79;40;263;5;10
Trap Queen;Fetty Wap;new jersey rap;2015;148;87;75;82;222;2;13
Troublemaker (feat. Flo Rida);Olly Murs;dance pop;2012;106;86;76;97;186;2;6
Under Control (feat. Hurts);Calvin Harris;dance pop;2014;126;92;54;51;184;13;8
Walk It Talk It;Migos;atl hip hop;2018;146;63;91;40;276;9;18
Want to Want Me;Jason Derulo;dance pop;2015;114;68;78;66;208;1;6
Where Have You Been;Rihanna;barbadian pop;2011;128;85;72;44;243;0;9
Where Them Girls At (feat. Nicki Minaj & Flo Rida);David Guetta;big room;2012;130;88;67;55;195;6;4
Wherever You Will Go;The Calling;neo mellow;2001;112;72;56;37;209;4;3
Who Knew;P!nk;dance pop;2006;140;73;69;46;208;0;3
With You;Chris Brown;r&b;2007;86;69;66;66;252;13;7
X;Nicky Jam;latin hip hop;2019;180;75;59;69;173;3;6
You And Me;Lifehouse;neo mellow;2005;140;43;46;35;195;11;3
Your Power;Billie Eilish;art pop;2021;130;28;63;21;246;93;8
4 Minutes (feat. Justin Timberlake & Timbaland);Madonna;dance pop;2009;113;93;75;77;190;1;7
Adan y Eva;Paulo Londra;argentine hip hop;2019;172;71;77;72;257;32;34
Ain't It Fun;Paramore;candy pop;2013;104;89;61;67;297;15;9
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);Felix Jaehn;edm;2018;118;57;78;48;186;67;3
All Summer Long;Kid Rock;nu metal;2007;103;86;70;89;298;2;3
Apologize;OneRepublic;piano rock;2007;118;74;59;50;208;36;3
Ayo;Chris Brown;r&b;2015;98;56;82;68;225;4;4
Bad and Boujee (feat. Lil Uzi Vert);Migos;atl hip hop;2017;127;67;93;17;343;6;24
Bad At Love;Halsey;electropop;2017;118;75;68;61;181;6;3
Bandido;Myke Towers;reggaeton;2020;168;62;71;68;233;12;9
Bartender (feat. Akon);T-Pain;dance pop;2007;105;39;83;44;239;6;6
Beautiful Liar;Beyoncé;pop;2007;92;75;76;42;200;1;7
BICHOTA;KAROL G;reggaeton;2020;164;67;86;84;179;21;15
Black Skinhead;Kanye West;chicago rap;2013;130;81;77;33;188;0;28
Blue Jeans;GANGGA;indonesian lo-fi pop;2020;114;30;64;29;211;94;3
Boulevard of Broken Dreams;Green Day;modern rock;2004;167;68;49;51;261;0;3
Boyfriend;Justin Bieber;canadian pop;2012;97;55;72;33;171;4;5
Breaking the Habit;Linkin Park;alternative metal;2003;100;85;58;58;197;11;3
Breezeblocks;alt-J;indie rock;2012;150;66;62;29;227;10;3
Build a Bitch;Bella Poarch;modern alternative pop;2021;103;46;86;87;123;22;4
Cool Kids;Echosmith;electropop;2013;130;67;72;79;238;4;3
Dangerously;Charlie Puth;pop;2016;112;52;70;23;199;36;4
Dirt Road Anthem;Jason Aldean;contemporary country;2010;127;74;68;64;229;35;4
Disco Inferno;50 Cent;east coast hip hop;2005;97;66;93;71;214;21;23
Don't Matter;Akon;dance pop;2006;125;44;80;35;293;24;4
Don't Tell 'Em;Jeremih;chicago rap;2015;98;53;86;39;267;39;10
Everybody's Changing;Keane;neo mellow;2004;94;84;52;42;216;0;3
Fake Love;Drake;canadian hip hop;2017;134;48;93;61;211;11;29
Finesse - Remix: feat. Cardi B;Bruno Mars;dance pop;2017;105;86;70;93;217;2;10
Foolish;Ashanti;dance pop;2002;90;70;67;71;227;35;5
Forever;Drake;canadian hip hop;2009;104;91;46;54;358;25;34
Free Fallin' - Live at the Nokia Theatre Los Angeles CA - December 2007;John Mayer;neo mellow;2008;174;30;32;44;264;77;3
GIRL LIKE ME;Black Eyed Peas;dance pop;2020;124;49;97;31;223;2;19
Hangover;Taio Cruz;dance pop;2011;128;88;61;61;245;1;4
Hey Baby (Drop It to the Floor) (feat. T-Pain);Pitbull;dance pop;2011;128;91;60;76;234;4;9
Hot N Cold;Katy Perry;pop;2008;132;84;71;86;220;0;4
I Bet You Look Good On The Dancefloor;Arctic Monkeys;garage rock;2006;103;95;54;78;174;0;4
I Wanna Love You;Akon;dance pop;2006;100;45;87;37;247;4;4
Intro;The xx;downtempo;2009;100;78;62;15;128;46;3
La Camisa Negra;Juanes;colombian pop;2004;97;73;75;97;217;8;3
Last Nite;The Strokes;alternative rock;2001;104;91;62;77;193;3;3
Lego House;Ed Sheeran;pop;2011;160;64;59;56;185;56;10
Light It Up (feat. Nyla & Fuse ODG) [Remix];Major Lazer;dance pop;2015;108;88;75;75;166;4;7
Loba;Shakira;colombian pop;2009;122;71;85;78;189;40;5
Look Alive (feat. Drake);BlocBoy JB;memphis hip hop;2018;140;58;92;61;181;0;32
Love Lies (with Normani);Khalid;pop;2018;144;65;71;34;202;10;4
Love Song;Sara Bareilles;acoustic pop;2007;123;79;58;57;259;2;3
Loyal (feat. Lil Wayne & Tyga);Chris Brown;r&b;2014;99;52;84;62;265;2;5
Lust For Life (with The Weeknd);Lana Del Rey;art pop;2017;100;66;50;26;264;60;5
Magic;Coldplay;permanent wave;2014;93;48;74;35;285;3;4
Meet Me Halfway;Black Eyed Peas;dance pop;2009;130;63;80;40;284;0;7
Moth To A Flame (with The Weeknd);Swedish House Mafia;edm;2022;120;66;54;11;234;0;4
My Band;D12;detroit hip hop;2004;120;85;85;84;299;50;8
My Love (feat. T.I.);Justin Timberlake;dance pop;2006;120;68;77;81;276;28;22
Need You Now;Lady A;contemporary country;2010;108;72;58;32;236;3;3
Never Forget You;Zara Larsson;pop;2017;146;73;58;28;213;0;5
Obsessed;Mariah Carey;dance pop;2009;86;47;74;37;242;5;6
OMG (feat. will.i.am);Usher;atl hip hop;2010;130;75;78;33;269;20;3
On The Floor - Radio Edit;Jennifer Lopez;dance pop;2011;130;69;76;44;231;8;8
Only Girl (In The World);Rihanna;barbadian pop;2010;126;72;79;61;235;13;4
Papaoutai;Stromae;belgian pop;2013;116;81;73;25;232;3;8
Paparazzi;Lady Gaga;art pop;2008;115;69;76;40;208;11;4
Party Rock Anthem;LMFAO;dance pop;2011;130;74;75;35;262;2;16
Please Me;Cardi B;pop;2019;134;57;75;65;201;6;8
Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick;french indie pop;2014;123;88;76;80;189;2;3
Rather Be (feat. Jess Glynne);Clean Bandit;pop;2014;121;59;80;55;228;16;4
Run It! (feat. Juelz Santana);Chris Brown;r&b;2005;101;48;85;21;230;2;13
S&M;Rihanna;barbadian pop;2010;128;68;77;83;244;1;4
Send My Love (To Your New Lover);Adele;british soul;2015;164;53;69;57;223;4;9
She Looks So Perfect;5 Seconds of Summer;boy band;2014;160;95;49;44;202;0;13
Sit Still Look Pretty;Daya;pop;2016;91;73;85;72;208;29;11
Suddenly I See;KT Tunstall;ectofolk;2005;100;77;59;66;202;23;4
Suga Suga;Baby Bash;chicano rap;2003;82;75;66;54;239;69;27
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;Lana Del Rey;art pop;2013;126;81;57;11;215;2;6
Superheroes;The Script;celtic rock;2014;167;89;49;64;245;0;4
Sweet Nothing (feat. Florence Welch);Calvin Harris;dance pop;2012;128;93;57;58;213;20;11
Symphony (feat. Zara Larsson);Clean Bandit;pop;2017;123;63;71;46;212;26;6
Teenage Dirtbag;Wheatus;alternative;1999;95;85;63;63;242;35;5
Teenage Dream;Katy Perry;pop;2010;120;80;72;59;228;2;4
Telephone;Lady Gaga;art pop;2009;122;84;82;72;221;1;4
Thank You;Dido;dance pop;1999;80;58;73;76;218;30;4
Therefore I Am;Billie Eilish;art pop;2020;94;34;89;72;174;22;7
These Days (feat. Jess Glynne Macklemore & Dan Caplen);Rudimental;pop dance;2018;92;81;65;55;211;19;5
Through The Wire;Kanye West;chicago rap;2004;83;74;57;66;221;1;25
Trip;Ella Mai;r&b;2018;80;61;48;36;214;23;14
Waiting On the World to Change;John Mayer;neo mellow;2006;177;76;58;66;201;16;12
We Belong Together;Mariah Carey;dance pop;2005;140;48;84;77;201;3;6
We're Good;Dua Lipa;dance pop;2021;134;59;72;59;166;3;5
What the Hell;Avril Lavigne;canadian pop;2011;150;93;58;88;221;0;5
What You Know;Two Door Cinema Club;indie rock;2010;139;75;55;83;190;0;4
Whatever You Like;T.I.;atl hip hop;2008;150;69;68;47;250;2;7
What's Luv? (feat. Ja-Rule & Ashanti);Fat Joe;bronx hip hop;2001;94;71;84;92;267;2;6
When The Sun Goes Down;Arctic Monkeys;garage rock;2006;169;88;35;41;202;3;20
Where Are Ü Now (with Justin Bieber);Jack Ü;edm;2015;139;78;43;20;250;4;6
Worth It (feat. Kid Ink);Fifth Harmony;girl group;2015;100;77;88;59;225;6;9
You Found Me;The Fray;neo mellow;2009;152;80;34;40;242;2;4
Your Body Is a Wonderland;John Mayer;neo mellow;2001;94;73;65;69;250;2;2
2 On (feat. ScHoolboy Q);Tinashe;alternative r&b;2014;101;60;74;43;227;15;11
Afterglow;Ed Sheeran;pop;2020;110;32;64;27;185;70;3
Antidote;Travis Scott;hip hop;2015;131;53;71;13;263;1;3
Anyone;Justin Bieber;canadian pop;2021;116;54;69;58;191;18;3
Apologize;Timbaland;dance pop;2007;118;60;65;10;184;3;3
At My Worst;Pink Sweat$;bedroom soul;2020;92;42;81;67;170;78;3
Back To December;Taylor Swift;pop;2010;142;61;52;30;293;2;3
Baila Conmigo (with Rauw Alejandro);Selena Gomez;pop;2021;150;54;82;66;186;2;7
Because of You;Kelly Clarkson;dance pop;2004;140;58;59;15;219;25;3
Best Friend (feat. Doja Cat);Saweetie;cali rap;2021;94;77;84;40;156;0;14
Billionaire (feat. Bruno Mars);Travie McCoy;pop rap;2010;87;67;63;66;211;30;26
Bodak Yellow;Cardi B;pop;2018;125;70;93;49;224;7;10
Bonita;J Balvin;reggaeton;2017;96;87;78;87;266;1;4
Bottoms Up (feat. Nicki Minaj);Trey Songz;dance pop;2010;74;60;84;33;242;2;16
Bubbly;Colbie Caillat;dance pop;2007;128;48;69;26;196;59;4
Burn;Ellie Goulding;indietronica;2012;87;77;56;35;231;32;5
Burn;Usher;atl hip hop;2004;120;48;80;69;232;31;11
Butterfly;Crazy Town;alternative metal;1999;104;81;74;61;217;0;8
Caroline;Aminé;pop rap;2017;120;34;94;71;210;17;51
Come & Get It;Selena Gomez;pop;2013;80;79;55;57;232;1;5
Controlla;Drake;canadian hip hop;2016;92;47;59;35;245;8;19
Dangerous;Kardinal Offishall;canadian old school hip hop;2008;117;79;95;81;246;0;8
Don't;Ed Sheeran;pop;2014;95;61;81;85;220;1;7
Don't Cha;The Pussycat Dolls;dance pop;2005;120;63;88;55;272;1;10
double take;dhruv;nyc pop;2019;109;44;46;21;172;84;9
Drunk in Love (feat. Jay-Z);Beyoncé;pop;2014;140;62;58;40;323;1;5
Échame La Culpa;Luis Fonsi;latin pop;2017;96;90;73;65;174;4;4
Every Teardrop Is a Waterfall;Coldplay;permanent wave;2011;118;73;43;33;241;0;4
Far Away;Nickelback;alternative metal;2005;133;80;52;29;238;0;3
Genie In a Bottle;Christina Aguilera;dance pop;1999;176;80;63;91;218;21;17
Giant (with Rag'n'Bone Man);Calvin Harris;dance pop;2019;122;89;81;61;229;2;4
Good Life;OneRepublic;piano rock;2009;95;69;63;65;253;8;5
Grace;Lewis Capaldi;pop;2019;104;56;72;49;186;44;3
Grace Kelly;MIKA;pop;2006;122;83;68;67;188;2;5
Green Light;Lorde;art pop;2017;129;72;59;25;235;2;10
Headstrong;Trapt;alternative metal;2002;185;90;49;53;286;0;12
Heroes (we could be);Alesso;dance pop;2015;126;75;50;36;210;3;6
I Know What You Did Last Summer;Shawn Mendes;canadian pop;2015;114;76;69;74;224;10;9
I Know What You Want (feat. Flipmode Squad);Busta Rhymes;east coast hip hop;2002;86;76;65;52;324;1;31
I Need Your Love (feat. Ellie Goulding);Calvin Harris;dance pop;2012;125;87;70;58;235;41;5
I'm with You;Avril Lavigne;canadian pop;2002;152;41;46;21;223;8;3
Jar of Hearts;Christina Perri;pop;2011;75;35;35;9;247;73;3
Leave a Light On;Tom Walker;indie anthem-folk;2017;69;62;59;27;186;2;11
Lemonade;Internet Money;pop rap;2020;140;66;80;47;195;26;8
Let It Go;James Bay;neo mellow;2015;147;31;54;25;261;82;3
Let's Fall in Love for the Night;FINNEAS;alt z;2019;128;41;74;37;190;80;10
Life Is Good (feat. Drake);Future;atl hip hop;2020;142;57;80;54;238;7;49
Lost Boy;Ruth B.;alt z;2015;124;6;71;35;275;97;5
Love in This Club (feat. Young Jeezy);Usher;atl hip hop;2008;140;71;57;35;260;6;7
LoveGame;Lady Gaga;art pop;2008;105;68;89;84;216;1;5
Money;Cardi B;pop;2018;130;59;95;22;184;1;29
Mr. Saxobeat - Radio Edit;Alexandra Stan;romanian pop;2011;127;93;73;80;195;2;5
My Love (feat. Jess Glynne);Route 94;house;2014;120;62;81;73;260;0;5
No Air (feat. Chris Brown);Jordin Sparks;dance pop;2007;160;76;47;33;264;5;20
No Type;Rae Sremmurd;melodic rap;2015;125;49;89;24;200;2;16
Primadonna;MARINA;metropopolis;2012;128;69;66;43;221;9;3
Reality;Lost Frequencies;belgian edm;2015;122;70;71;60;159;2;3
Rehab;Amy Winehouse;british soul;2006;72;56;41;78;215;5;6
Remember the Name (feat. Styles of Beyond);Fort Minor;rap rock;2005;85;84;69;88;230;6;9
Replay;Iyaz;dance pop;2009;91;75;71;20;182;17;7
Rise;Jonas Blue;pop;2018;106;79;69;66;194;33;3
River (feat. Ed Sheeran);Eminem;detroit hip hop;2017;90;75;75;66;221;14;52
Roar;Katy Perry;pop;2013;180;77;55;46;224;0;4
Shape of My Heart;Backstreet Boys;boy band;2000;96;79;57;52;230;25;3
Shotta Flow (feat. Blueface) [Remix];NLE Choppa;memphis hip hop;2019;120;51;89;57;177;3;42
Since U Been Gone;Kelly Clarkson;dance pop;2004;131;74;66;38;189;0;3
Sky Walker (feat. Travis Scott);Miguel;r&b;2017;146;51;67;18;259;17;4
Slide (feat. Frank Ocean & Migos);Calvin Harris;dance pop;2017;104;80;74;51;231;50;5
SOS (feat. Aloe Blacc);Avicii;edm;2019;100;65;80;38;157;27;7
Spectrum (Say My Name) - Calvin Harris Remix;Florence + The Machine;baroque pop;2011;126;95;58;59;218;0;5
Speed of Sound;Coldplay;permanent wave;2005;123;90;51;35;288;0;6
Swervin (feat. 6ix9ine);A Boogie Wit da Hoodie;melodic rap;2018;93;66;58;43;189;2;30
Taki Taki (feat. Selena Gomez & Ozuna & Cardi B);DJ Snake;edm;2019;96;80;84;62;213;16;23
Tequila;Dan + Shay;contemporary country;2018;86;58;49;49;197;3;3
The One That Got Away;Katy Perry;pop;2012;134;79;69;86;227;0;4
Unsteady;X Ambassadors;modern alternative rock;2015;117;67;39;20;194;18;6
What’s Next;Drake;canadian hip hop;2021;130;59;78;6;178;1;5
When Love Takes Over (feat. Kelly Rowland);David Guetta;big room;2010;130;86;68;50;191;2;3
When You Love Someone;James TW;classical soul;2019;126;45;68;35;217;26;3
X Gon' Give It To Ya;DMX;east coast hip hop;2007;95;90;76;67;218;1;18
Yo (Excuse Me Miss);Chris Brown;r&b;2005;87;61;54;57;229;12;27
You;Lloyd;r&b;2007;130;88;41;70;273;10;47
You Make It Easy;Jason Aldean;contemporary country;2018;132;57;38;41;197;14;3
03' Bonnie & Clyde;JAY-Z;east coast hip hop;2002;90;68;76;33;206;23;31
Alejandro;Lady Gaga;art pop;2009;99;79;62;36;274;0;5
Alone;Marshmello;brostep;2016;142;95;63;42;274;2;3
A-Punk;Vampire Weekend;baroque pop;2008;175;82;55;85;138;1;5
Back To You;Selena Gomez;pop;2018;102;68;60;49;210;10;5
Bulletproof;La Roux;alternative dance;2009;123;88;67;68;206;0;5
Burnin' Up;Jonas Brothers;boy band;2008;114;95;67;81;175;3;8
Cold (feat. Future);Maroon 5;pop;2018;100;72;69;41;234;14;11
Cold Water (feat. Justin Bieber & MØ);Major Lazer;dance pop;2016;93;80;61;50;185;7;4
Crack A Bottle;Eminem;detroit hip hop;2009;170;87;52;39;298;9;19
Day 'N' Nite (Nightmare);Kid Cudi;hip hop;2009;138;44;88;80;221;46;7
do re mi;blackbear;alt z;2017;111;59;75;17;212;1;5
ELEMENT.;Kendrick Lamar;conscious hip hop;2017;190;71;75;48;209;20;49
Empire State of Mind (Part II) Broken Down;Alicia Keys;neo soul;2009;93;37;48;14;216;74;3
Everything;Michael Bublé;adult standards;2007;123;69;69;49;212;39;3
Fetish (feat. Gucci Mane);Selena Gomez;pop;2017;123;62;71;27;186;2;6
Fire Burning;Sean Kingston;dance pop;2009;123;80;84;89;240;2;3
Follow Me;Uncle Kracker;country;2000;105;59;82;92;218;44;3
Hate That I Love You;Rihanna;barbadian pop;2008;94;73;64;73;219;32;9
High By The Beach;Lana Del Rey;art pop;2015;132;49;54;10;258;24;3
